Cluster,TotalSpent,TotalSpent,AvgSpent,AvgSpent,Frequency,Frequency,Recency,Recency
,mean,median,mean,median,mean,median,mean,median
0,5587.837857142857,5398.875,747.3416284142444,751.4380952380952,7.553571428571429,7.0,74.73214285714286,69.0
1,3792.0157142857142,3850.58,977.4181468253968,971.359,3.9047619047619047,4.0,108.38095238095238,106.0
2,1132.325,932.365,593.3765104166666,626.8499999999999,1.8125,1.0,277.375,261.5
3,2349.3503529411764,2509.81,522.7263378618114,557.9333333333334,4.517647058823529,5.0,77.89411764705882,75.0
